cod;nome;período;valor
24;RN;2006;318
42;SC;2006;93
32;ES;2006;1111
13;AM;2006;584
35;SP;2006;3364
27;AL;2006;1078
41;PR;2006;522
25;PB;2006;697
17;TO;2006;189
52;GO;2006;1076
14;RR;2006;67
21;MA;2006;811
12;AC;2006;102
16;AP;2006;186
22;PI;2006;357
15;PA;2006;1867
33;RJ;2006;4611
51;MT;2006;647
50;MS;2006;366
28;SE;2006;406
23;CE;2006;972
31;MG;2006;2759
29;BA;2006;2821
53;DF;2006;576
14;RR;2007;85
53;DF;2007;591
31;MG;2007;2776
42;SC;2007;94
22;PI;2007;310
23;CE;2007;1367
15;PA;2007;1953
26;PE;2007;4032
24;RN;2007;424
27;AL;2007;1247
32;ES;2007;1197
51;MT;2007;615
50;MS;2007;369
43;RS;2007;440
13;AM;2007;648
11;RO;2007;305
21;MA;2007;962
35;SP;2007;2602
12;AC;2007;91
25;PB;2007;759
41;PR;2007;617
17;TO;2007;191
16;AP;2007;140
52;GO;2007;1052
33;RJ;2007;4169
28;SE;2007;371
29;BA;2007;3116
15;PA;2008;2585
33;RJ;2008;3593
41;PR;2008;695
14;RR;2008;74
32;ES;2008;1252
31;MG;2008;2628
42;SC;2008;108
28;SE;2008;404
16;AP;2008;196
29;BA;2008;4137
27;AL;2008;1536
43;RS;2008;471
12;AC;2008;74
50;MS;2008;361
17;TO;2008;194
26;PE;2008;3888
52;GO;2008;1309
25;PB;2008;928
21;MA;2008;1097
11;RO;2008;319
24;RN;2008;558
53;DF;2008;701
22;PI;2008;299
23;CE;2008;1377
51;MT;2008;687
13;AM;2008;767
35;SP;2008;2464
24;RN;2009;612
52;GO;2009;1446
17;TO;2009;231
12;AC;2009;103
35;SP;2009;2618
21;MA;2009;1210
11;RO;2009;373
43;RS;2009;445
14;RR;2009;78
27;AL;2009;1595
16;AP;2009;168
29;BA;2009;4741
42;SC;2009;115
31;MG;2009;2507
41;PR;2009;677
22;PI;2009;318
53;DF;2009;753
23;CE;2009;1360
33;RJ;2009;3430
15;PA;2009;2711
28;SE;2009;475
32;ES;2009;1367
51;MT;2009;738
13;AM;2009;846
25;PB;2009;1153
50;MS;2009;399
26;PE;2009;3460
15;PA;2010;3198
28;SE;2010;569
52;GO;2010;1533
13;AM;2010;980
14;RR;2010;102
11;RO;2010;388
22;PI;2010;327
29;BA;2010;5145
51;MT;2010;722
26;PE;2010;3000
33;RJ;2010;3684
21;MA;2010;1341
31;MG;2010;2515
23;CE;2010;1711
42;SC;2010;129
43;RS;2010;436
12;AC;2010;96
53;DF;2010;680
25;PB;2010;1325
24;RN;2010;633
50;MS;2010;374
17;TO;2010;280
35;SP;2010;2442
27;AL;2010;1696
41;PR;2010;670
32;ES;2010;1299
16;AP;2010;205
26;PE;2011;3013
50;MS;2011;416
22;PI;2011;355
17;TO;2011;288
29;BA;2011;4780
42;SC;2011;128
13;AM;2011;1131
31;MG;2011;2906
15;PA;2011;2787
14;RR;2011;74
35;SP;2011;2473
23;CE;2011;1647
25;PB;2011;1441
53;DF;2011;784
32;ES;2011;1209
52;GO;2011;1721
11;RO;2011;321
33;RJ;2011;3161
51;MT;2011;740
21;MA;2011;1364
28;SE;2011;671
43;RS;2011;448
24;RN;2011;813
12;AC;2011;99
41;PR;2011;654
27;AL;2011;2013
16;AP;2011;179
27;AL;2012;1905
53;DF;2012;849
52;GO;2012;2134
51;MT;2012;794
42;SC;2012;174
41;PR;2012;758
35;SP;2012;2885
33;RJ;2012;3228
32;ES;2012;1342
31;MG;2012;3200
29;BA;2012;5358
26;PE;2012;2991
25;PB;2012;1295
24;RN;2012;861
23;CE;2012;1921
50;MS;2012;447
43;RS;2012;514
22;PI;2012;453
21;MA;2012;1555
17;TO;2012;306
16;AP;2012;215
15;PA;2012;2942
14;RR;2012;100
13;AM;2012;1183
12;AC;2012;171
28;SE;2012;800
11;RO;2012;374
26;PE;2013;2796
11;RO;2013;316
12;AC;2013;194
25;PB;2013;1292
52;GO;2013;2268
17;TO;2013;267
43;RS;2013;487
41;PR;2013;599
32;ES;2013;1311
13;AM;2013;1026
15;PA;2013;3025
22;PI;2013;489
53;DF;2013;747
23;CE;2013;2213
14;RR;2013;137
29;BA;2013;5072
27;AL;2013;1962
16;AP;2013;177
33;RJ;2013;3492
24;RN;2013;1124
51;MT;2013;860
35;SP;2013;2676
31;MG;2013;3350
42;SC;2013;117
28;SE;2013;877
50;MS;2013;400
21;MA;2013;1895
14;RR;2014;93
16;AP;2014;232
42;SC;2014;159
12;AC;2014;187
53;DF;2014;710
25;PB;2014;1342
15;PA;2014;3135
13;AM;2014;1102
52;GO;2014;2198
27;AL;2014;1947
43;RS;2014;628
17;TO;2014;296
28;SE;2014;1003
41;PR;2014;604
51;MT;2014;1022
50;MS;2014;432
26;PE;2014;2907
35;SP;2014;2840
24;RN;2014;1304
31;MG;2014;3412
22;PI;2014;589
33;RJ;2014;3954
29;BA;2014;5419
32;ES;2014;1316
21;MA;2014;2179
23;CE;2014;2507
11;RO;2014;424
31;MG;2015;3300
29;BA;2015;5446
15;PA;2015;3375
11;RO;2015;446
52;GO;2015;2263
22;PI;2015;544
23;CE;2015;2272
51;MT;2015;931
27;AL;2015;1656
24;RN;2015;1283
42;SC;2015;203
21;MA;2015;2118
28;SE;2015;1221
43;RS;2015;656
25;PB;2015;1306
50;MS;2015;405
12;AC;2015;183
41;PR;2015;660
35;SP;2015;2537
17;TO;2015;381
53;DF;2015;598
13;AM;2015;1338
26;PE;2015;3373
33;RJ;2015;3517
14;RR;2015;148
32;ES;2015;1168
16;AP;2015;264
28;SE;2016;1384
21;MA;2016;2097
29;BA;2016;6512
26;PE;2016;3858
50;MS;2016;415
13;AM;2016;1324
42;SC;2016;240
33;RJ;2016;4363
11;RO;2016;517
24;RN;2016;1553
27;AL;2016;1757
43;RS;2016;757
23;CE;2016;2512
15;PA;2016;3871
14;RR;2016;155
32;ES;2016;1024
53;DF;2016;622
51;MT;2016;922
22;PI;2016;606
35;SP;2016;2219
17;TO;2016;456
31;MG;2016;3346
41;PR;2016;663
12;AC;2016;307
52;GO;2016;2349
25;PB;2016;1187
16;AP;2016;362
28;SE;2017;1232
50;MS;2017;418
22;PI;2017;549
23;CE;2017;4905
21;MA;2017;1968
24;RN;2017;1928
25;PB;2017;1227
17;TO;2017;437
26;PE;2017;4720
16;AP;2017;351
29;BA;2017;6798
15;PA;2017;4144
53;DF;2017;486
31;MG;2017;3146
32;ES;2017;1214
14;RR;2017;185
33;RJ;2017;4650
13;AM;2017;1516
35;SP;2017;2168
41;PR;2017;680
12;AC;2017;428
42;SC;2017;270
27;AL;2017;1740
51;MT;2017;850
52;GO;2017;2284
11;RO;2017;397
43;RS;2017;833
53;DF;2018;408
51;MT;2018;766
26;PE;2018;3578
11;RO;2018;351
21;MA;2018;1767
13;AM;2018;1410
43;RS;2018;673
16;AP;2018;389
29;BA;2018;6089
22;PI;2018;531
33;RJ;2018;4705
32;ES;2018;964
12;AC;2018;350
42;SC;2018;174
41;PR;2018;670
28;SE;2018;1079
52;GO;2018;2086
15;PA;2018;4113
31;MG;2018;2506
23;CE;2018;4477
27;AL;2018;1175
14;RR;2018;308
25;PB;2018;1156
35;SP;2018;1747
50;MS;2018;358
24;RN;2018;1594
17;TO;2018;466
50;MS;2019;306
42;SC;2019;189
41;PR;2019;599
24;RN;2019;1194
32;ES;2019;875
21;MA;2019;1498
31;MG;2019;2145
14;RR;2019;167
15;PA;2019;3093
28;SE;2019;934
11;RO;2019;327
33;RJ;2019;2568
52;GO;2019;1742
22;PI;2019;489
26;PE;2019;2908
13;AM;2019;1377
51;MT;2019;696
53;DF;2019;375
17;TO;2019;369
16;AP;2019;347
35;SP;2019;1684
43;RS;2019;515
23;CE;2019;2235
27;AL;2019;1082
29;BA;2019;5622
12;AC;2019;277
25;PB;2019;853
29;BA;2020;6511
21;MA;2020;1860
24;RN;2020;1236
17;TO;2020;399
41;PR;2020;744
28;SE;2020;928
15;PA;2020;2547
27;AL;2020;1253
35;SP;2020;1651
16;AP;2020;366
12;AC;2020;253
14;RR;2020;166
33;RJ;2020;3606
53;DF;2020;326
22;PI;2020;562
23;CE;2020;3752
52;GO;2020;1687
50;MS;2020;316
51;MT;2020;770
26;PE;2020;3221
13;AM;2020;1159
25;PB;2020;1004
11;RO;2020;350
42;SC;2020;186
31;MG;2020;1955
43;RS;2020;523
32;ES;2020;943
33;RJ;2021;3500
31;MG;2021;1847
16;AP;2021;446
52;GO;2021;1401
14;RR;2021;193
32;ES;2021;963
26;PE;2021;2836
28;SE;2021;742
13;AM;2021;1616
17;TO;2021;355
35;SP;2021;1505
25;PB;2021;990
12;AC;2021;184
24;RN;2021;1055
53;DF;2021;304
41;PR;2021;921
21;MA;2021;1754
43;RS;2021;456
42;SC;2021;172
27;AL;2021;1044
23;CE;2021;3205
51;MT;2021;672
22;PI;2021;664
11;RO;2021;395
50;MS;2021;388
29;BA;2021;6703
15;PA;2021;2611
11;RO;2022;460
27;AL;2022;1101
35;SP;2022;1574
25;PB;2022;906
32;ES;2022;917
52;GO;2022;1330
22;PI;2022;693
13;AM;2022;1553
50;MS;2022;343
23;CE;2022;2781
53;DF;2022;269
29;BA;2022;6259
51;MT;2022;821
28;SE;2022;728
14;RR;2022;166
43;RS;2022;491
17;TO;2022;376
15;PA;2022;2622
21;MA;2022;1740
31;MG;2022;1967
41;PR;2022;1048
24;RN;2022;1029
33;RJ;2022;2817
16;AP;2022;344
42;SC;2022;153
26;PE;2022;2842
12;AC;2022;201
21;MA;2023;1691
27;AL;2023;1120
12;AC;2023;184
43;RS;2023;506
