cod;nome;período;valor
21;MA;2006;753
24;RN;2006;291
53;DF;2006;537
28;SE;2006;384
15;PA;2006;1749
22;PI;2006;329
17;TO;2006;171
42;SC;2006;78
35;SP;2006;3121
52;GO;2006;985
29;BA;2006;2624
26;PE;2006;3632
31;MG;2006;2520
14;RR;2006;64
32;ES;2006;1008
16;AP;2006;176
23;CE;2006;907
12;AC;2006;94
43;RS;2006;351
13;AM;2006;551
25;PB;2006;648
27;AL;2006;1012
11;RO;2006;386
51;MT;2006;605
14;RR;2007;75
53;DF;2007;550
21;MA;2007;911
11;RO;2007;285
52;GO;2007;970
12;AC;2007;82
51;MT;2007;561
50;MS;2007;341
25;PB;2007;704
43;RS;2007;411
41;PR;2007;575
26;PE;2007;3790
35;SP;2007;2417
33;RJ;2007;3952
13;AM;2007;605
32;ES;2007;1081
31;MG;2007;2528
29;BA;2007;2909
28;SE;2007;350
15;PA;2007;1841
27;AL;2007;1179
24;RN;2007;399
16;AP;2007;132
23;CE;2007;1283
42;SC;2007;88
17;TO;2007;164
22;PI;2007;285
26;PE;2008;3641
53;DF;2008;644
27;AL;2008;1465
28;SE;2008;383
35;SP;2008;2265
33;RJ;2008;3365
13;AM;2008;711
14;RR;2008;69
31;MG;2008;2407
11;RO;2008;298
17;TO;2008;177
52;GO;2008;1204
51;MT;2008;630
12;AC;2008;69
24;RN;2008;510
21;MA;2008;1030
15;PA;2008;2445
29;BA;2008;3876
50;MS;2008;339
25;PB;2008;852
43;RS;2008;439
42;SC;2008;100
32;ES;2008;1123
22;PI;2008;268
23;CE;2008;1303
16;AP;2008;183
41;PR;2008;640
28;SE;2009;454
14;RR;2009;66
31;MG;2009;2261
15;PA;2009;2558
32;ES;2009;1215
27;AL;2009;1499
21;MA;2009;1143
13;AM;2009;786
33;RJ;2009;3237
35;SP;2009;2385
26;PE;2009;3208
41;PR;2009;619
23;CE;2009;1280
16;AP;2009;158
53;DF;2009;692
42;SC;2009;107
43;RS;2009;409
25;PB;2009;1069
50;MS;2009;374
24;RN;2009;574
12;AC;2009;97
51;MT;2009;682
52;GO;2009;1327
17;TO;2009;208
22;PI;2009;296
11;RO;2009;338
29;BA;2009;4455
13;AM;2010;920
17;TO;2010;250
31;MG;2010;2256
11;RO;2010;364
43;RS;2010;398
41;PR;2010;619
52;GO;2010;1403
35;SP;2010;2219
32;ES;2010;1171
15;PA;2010;2998
51;MT;2010;667
50;MS;2010;336
12;AC;2010;83
29;BA;2010;4781
28;SE;2010;533
27;AL;2010;1592
24;RN;2010;582
33;RJ;2010;3484
16;AP;2010;191
23;CE;2010;1600
22;PI;2010;299
25;PB;2010;1227
21;MA;2010;1242
14;RR;2010;93
26;PE;2010;2803
42;SC;2010;114
53;DF;2010;630
14;RR;2011;65
27;AL;2011;1899
21;MA;2011;1255
23;CE;2011;1541
52;GO;2011;1537
53;DF;2011;723
41;PR;2011;599
25;PB;2011;1324
16;AP;2011;163
42;SC;2011;123
11;RO;2011;290
17;TO;2011;252
43;RS;2011;427
28;SE;2011;621
15;PA;2011;2629
50;MS;2011;376
24;RN;2011;757
13;AM;2011;1065
29;BA;2011;4402
51;MT;2011;679
31;MG;2011;2622
22;PI;2011;327
32;ES;2011;1105
33;RJ;2011;2933
12;AC;2011;88
35;SP;2011;2293
26;PE;2011;2790
29;BA;2012;4989
43;RS;2012;475
17;TO;2012;266
15;PA;2012;2738
53;DF;2012;785
42;SC;2012;156
22;PI;2012;413
27;AL;2012;1789
32;ES;2012;1205
35;SP;2012;2627
11;RO;2012;338
16;AP;2012;200
52;GO;2012;1963
26;PE;2012;2805
33;RJ;2012;2999
12;AC;2012;157
21;MA;2012;1459
24;RN;2012;819
25;PB;2012;1176
50;MS;2012;402
13;AM;2012;1094
31;MG;2012;2896
41;PR;2012;690
14;RR;2012;93
28;SE;2012;748
51;MT;2012;732
23;CE;2012;1811
50;MS;2013;360
53;DF;2013;681
52;GO;2013;2076
51;MT;2013;798
43;RS;2013;454
41;PR;2013;540
35;SP;2013;2459
33;RJ;2013;3247
32;ES;2013;1182
31;MG;2013;3076
29;BA;2013;4709
28;SE;2013;829
27;AL;2013;1845
23;CE;2013;2088
42;SC;2013;101
22;PI;2013;451
21;MA;2013;1788
17;TO;2013;235
16;AP;2013;162
15;PA;2013;2830
14;RR;2013;123
13;AM;2013;955
12;AC;2013;165
26;PE;2013;2572
25;PB;2013;1187
24;RN;2013;1064
11;RO;2013;288
22;PI;2014;538
52;GO;2014;1986
27;AL;2014;1829
23;CE;2014;2362
53;DF;2014;664
16;AP;2014;213
26;PE;2014;2704
32;ES;2014;1206
13;AM;2014;1038
41;PR;2014;541
33;RJ;2014;3666
12;AC;2014;171
31;MG;2014;3153
29;BA;2014;5095
14;RR;2014;83
25;PB;2014;1244
43;RS;2014;577
21;MA;2014;2048
50;MS;2014;388
17;TO;2014;267
28;SE;2014;938
11;RO;2014;386
35;SP;2014;2612
15;PA;2014;2912
42;SC;2014;138
24;RN;2014;1233
51;MT;2014;946
27;AL;2015;1566
35;SP;2015;2336
