cod;nome;período;valor
24;RN;2006;27
41;PR;2006;48
53;DF;2006;39
35;SP;2006;242
28;SE;2006;22
25;PB;2006;49
17;TO;2006;18
14;RR;2006;3
16;AP;2006;10
33;RJ;2006;267
29;BA;2006;197
27;AL;2006;66
26;PE;2006;261
51;MT;2006;42
32;ES;2006;103
31;MG;2006;238
22;PI;2006;28
43;RS;2006;30
12;AC;2006;8
23;CE;2006;65
43;RS;2007;29
42;SC;2007;6
11;RO;2007;20
32;ES;2007;116
13;AM;2007;43
14;RR;2007;10
50;MS;2007;28
52;GO;2007;82
21;MA;2007;50
16;AP;2007;8
31;MG;2007;248
15;PA;2007;112
17;TO;2007;26
41;PR;2007;41
29;BA;2007;207
24;RN;2007;25
23;CE;2007;84
12;AC;2007;9
53;DF;2007;41
35;SP;2007;185
27;AL;2007;68
51;MT;2007;54
22;PI;2007;24
26;PE;2007;241
25;PB;2007;55
28;SE;2007;21
33;RJ;2007;216
29;BA;2008;260
53;DF;2008;57
52;GO;2008;104
51;MT;2008;57
50;MS;2008;22
27;AL;2008;71
26;PE;2008;245
25;PB;2008;76
24;RN;2008;48
23;CE;2008;74
22;PI;2008;31
21;MA;2008;67
17;TO;2008;17
16;AP;2008;13
15;PA;2008;139
14;RR;2008;5
13;AM;2008;56
43;RS;2008;32
42;SC;2008;8
41;PR;2008;55
35;SP;2008;199
33;RJ;2008;223
32;ES;2008;129
31;MG;2008;221
28;SE;2008;21
12;AC;2008;5
11;RO;2008;20
51;MT;2009;55
41;PR;2009;57
50;MS;2009;25
25;PB;2009;84
35;SP;2009;230
53;DF;2009;61
13;AM;2009;60
24;RN;2009;38
17;TO;2009;23
12;AC;2009;6
43;RS;2009;36
27;AL;2009;96
16;AP;2009;10
22;PI;2009;22
15;PA;2009;152
52;GO;2009;117
26;PE;2009;252
32;ES;2009;152
42;SC;2009;8
14;RR;2009;12
29;BA;2009;284
31;MG;2009;246
33;RJ;2009;190
11;RO;2009;35
23;CE;2009;80
28;SE;2009;21
21;MA;2009;67
32;ES;2010;128
41;PR;2010;51
15;PA;2010;197
51;MT;2010;54
25;PB;2010;98
42;SC;2010;15
26;PE;2010;197
50;MS;2010;38
28;SE;2010;36
43;RS;2010;38
13;AM;2010;60
33;RJ;2010;196
53;DF;2010;50
12;AC;2010;13
24;RN;2010;51
21;MA;2010;99
35;SP;2010;223
14;RR;2010;9
27;AL;2010;104
52;GO;2010;128
11;RO;2010;23
31;MG;2010;259
23;CE;2010;111
22;PI;2010;28
17;TO;2010;30
16;AP;2010;14
29;BA;2010;361
21;MA;2011;109
43;RS;2011;21
52;GO;2011;182
27;AL;2011;114
50;MS;2011;40
17;TO;2011;36
16;AP;2011;16
29;BA;2011;375
26;PE;2011;223
14;RR;2011;9
53;DF;2011;61
11;RO;2011;31
33;RJ;2011;223
51;MT;2011;60
25;PB;2011;117
32;ES;2011;104
13;AM;2011;66
35;SP;2011;179
24;RN;2011;56
41;PR;2011;55
28;SE;2011;50
31;MG;2011;283
12;AC;2011;11
22;PI;2011;28
15;PA;2011;154
23;CE;2011;106
42;SC;2011;5
25;PB;2012;119
51;MT;2012;62
15;PA;2012;202
50;MS;2012;45
41;PR;2012;68
27;AL;2012;116
33;RJ;2012;223
11;RO;2012;36
23;CE;2012;110
12;AC;2012;14
52;GO;2012;171
14;RR;2012;7
26;PE;2012;185
29;BA;2012;368
16;AP;2012;15
43;RS;2012;39
22;PI;2012;40
17;TO;2012;40
35;SP;2012;257
24;RN;2012;42
32;ES;2012;137
31;MG;2012;303
21;MA;2012;96
42;SC;2012;18
53;DF;2012;63
13;AM;2012;89
28;SE;2012;52
27;AL;2013;117
31;MG;2013;274
50;MS;2013;40
17;TO;2013;31
14;RR;2013;14
11;RO;2013;28
13;AM;2013;71
21;MA;2013;107
15;PA;2013;190
12;AC;2013;29
22;PI;2013;36
43;RS;2013;33
53;DF;2013;66
52;GO;2013;191
42;SC;2013;16
23;CE;2013;125
41;PR;2013;59
24;RN;2013;59
28;SE;2013;48
35;SP;2013;215
25;PB;2013;104
51;MT;2013;62
33;RJ;2013;236
26;PE;2013;224
29;BA;2013;362
32;ES;2013;129
16;AP;2013;15
15;PA;2014;221
35;SP;2014;227
23;CE;2014;145
21;MA;2014;129
13;AM;2014;64
43;RS;2014;51
25;PB;2014;98
27;AL;2014;118
52;GO;2014;212
26;PE;2014;203
12;AC;2014;16
31;MG;2014;259
50;MS;2014;44
32;ES;2014;110
42;SC;2014;21
41;PR;2014;63
16;AP;2014;19
29;BA;2014;323
14;RR;2014;10
17;TO;2014;29
53;DF;2014;46
24;RN;2014;71
22;PI;2014;51
11;RO;2014;38
33;RJ;2014;283
28;SE;2014;65
51;MT;2014;76
50;MS;2015;38
22;PI;2015;56
35;SP;2015;201
41;PR;2015;49
29;BA;2015;331
23;CE;2015;154
21;MA;2015;115
32;ES;2015;107
24;RN;2015;76
33;RJ;2015;233
25;PB;2015;84
42;SC;2015;18
26;PE;2015;198
51;MT;2015;88
13;AM;2015;96
27;AL;2015;90
14;RR;2015;10
53;DF;2015;45
52;GO;2015;176
28;SE;2015;64
31;MG;2015;267
11;RO;2015;49
12;AC;2015;14
43;RS;2015;55
17;TO;2015;39
16;AP;2015;13
15;PA;2015;236
42;SC;2016;27
26;PE;2016;238
43;RS;2016;50
23;CE;2016;149
12;AC;2016;19
41;PR;2016;44
52;GO;2016;180
50;MS;2016;46
24;RN;2016;74
28;SE;2016;54
35;SP;2016;200
29;BA;2016;379
21;MA;2016;133
53;DF;2016;53
51;MT;2016;77
13;AM;2016;93
25;PB;2016;88
11;RO;2016;34
16;AP;2016;15
33;RJ;2016;276
17;TO;2016;30
14;RR;2016;10
15;PA;2016;274
32;ES;2016;81
31;MG;2016;247
27;AL;2016;91
22;PI;2016;43
22;PI;2017;39
33;RJ;2017;260
15;PA;2017;286
31;MG;2017;261
24;RN;2017;129
21;MA;2017;113
53;DF;2017;34
25;PB;2017;76
17;TO;2017;30
23;CE;2017;325
11;RO;2017;40
52;GO;2017;190
43;RS;2017;61
14;RR;2017;16
26;PE;2017;257
12;AC;2017;24
32;ES;2017;116
41;PR;2017;33
50;MS;2017;33
16;AP;2017;23
51;MT;2017;70
42;SC;2017;23
13;AM;2017;98
29;BA;2017;417
28;SE;2017;64
27;AL;2017;104
35;SP;2017;166
22;PI;2018;43
32;ES;2018;76
27;AL;2018;55
33;RJ;2018;242
16;AP;2018;12
43;RS;2018;54
24;RN;2018;85
26;PE;2018;189
13;AM;2018;110
17;TO;2018;36
29;BA;2018;369
41;PR;2018;63
25;PB;2018;71
21;MA;2018;109
28;SE;2018;34
35;SP;2018;176
42;SC;2018;17
11;RO;2018;28
52;GO;2018;154
53;DF;2018;35
51;MT;2018;71
15;PA;2018;282
31;MG;2018;241
14;RR;2018;26
23;CE;2018;426
50;MS;2018;38
12;AC;2018;28
15;PA;2019;204
16;AP;2019;17
14;RR;2019;19
17;TO;2019;32
13;AM;2019;93
21;MA;2019;93
12;AC;2019;25
43;RS;2019;52
22;PI;2019;35
42;SC;2019;26
23;CE;2019;199
41;PR;2019;57
24;RN;2019;84
35;SP;2019;149
33;RJ;2019;131
25;PB;2019;53
32;ES;2019;73
26;PE;2019;158
31;MG;2019;207
53;DF;2019;36
50;MS;2019;26
29;BA;2019;358
28;SE;2019;50
51;MT;2019;56
27;AL;2019;89
52;GO;2019;115
11;RO;2019;31
53;DF;2020;20
50;MS;2020;38
27;AL;2020;88
52;GO;2020;93
22;PI;2020;41
43;RS;2020;49
29;BA;2020;387
15;PA;2020;166
12;AC;2020;21
25;PB;2020;75
33;RJ;2020;196
14;RR;2020;15
17;TO;2020;29
26;PE;2020;181
32;ES;2020;78
28;SE;2020;37
24;RN;2020;66
35;SP;2020;146
13;AM;2020;66
21;MA;2020;123
41;PR;2020;52
16;AP;2020;21
51;MT;2020;79
11;RO;2020;39
23;CE;2020;295
42;SC;2020;18
31;MG;2020;166
11;RO;2021;36
28;SE;2021;34
27;AL;2021;65
21;MA;2021;110
15;PA;2021;185
52;GO;2021;95
13;AM;2021;111
50;MS;2021;42
22;PI;2021;53
24;RN;2021;59
16;AP;2021;18
43;RS;2021;45
31;MG;2021;159
53;DF;2021;27
35;SP;2021;131
12;AC;2021;26
32;ES;2021;88
14;RR;2021;12
25;PB;2021;63
23;CE;2021;299
51;MT;2021;62
33;RJ;2021;179
26;PE;2021;195
29;BA;2021;401
41;PR;2021;73
42;SC;2021;11
17;TO;2021;22
29;BA;2022;368
26;PE;2022;184
32;ES;2022;72
25;PB;2022;65
50;MS;2022;41
33;RJ;2022;161
24;RN;2022;57
28;SE;2022;32
35;SP;2022;159
41;PR;2022;70
23;CE;2022;245
15;PA;2022;175
51;MT;2022;84
42;SC;2022;16
27;AL;2022;72
22;PI;2022;60
43;RS;2022;57
12;AC;2022;16
52;GO;2022;95
21;MA;2022;114
11;RO;2022;46
53;DF;2022;26
13;AM;2022;91
17;TO;2022;25
14;RR;2022;13
16;AP;2022;16
31;MG;2022;166
53;DF;2023;32
27;AL;2023;70
51;MT;2023;76
25;PB;2023;53
41;PR;2023;75
23;CE;2023;218
35;SP;2023;167
15;PA;2023;175
26;PE;2023;203
13;AM;2023;108
17;TO;2023;26
31;MG;2023;199
28;SE;2023;38
24;RN;2023;53
33;RJ;2023;237
50;MS;2023;26
32;ES;2023;75
21;MA;2023;107
14;RR;2023;14
43;RS;2023;50
22;PI;2023;63
42;SC;2023;20
16;AP;2023;14
52;GO;2023;83
12;AC;2023;14
29;BA;2023;411
11;RO;2023;40
